Name,Measure,MeasureInfo,season,year,BayRidge-And-DykerHeights,Bayside-LittleNeck,BaysideLittleNeck-FreshMeadows,BedfordStuyvesant-CrownHeights,Belmont-And-EastTremont,Bensonhurst-BayRidge,BoroughPark,Bronx,Brooklyn,Brownsville,Bushwick,CentralHarlem,Chelsea-Clinton,Chelsea-Village,Clinton-And-Chelsea,Coneyisl-And-,Crotona-Tremont,Downtown-Heights-Slope,EastFlatbush,EastHarlem,EastNewYork,Elmhurst-And-Corona,FinancialDistrict,Flatbush-And-Midwood,Flatl-And-s-And-Canarsie,Flushing-Clearview,Flushing-And-Whitestone,Fordham-BronxPk,Fordham-And-UniversityHeights,FortGreene-And-BrooklynHeights,FreshMeadows,GramercyPark-MurrayHill,Greenpoint,Greenpoint-And-Williamsburg,GreenwichVillage-And-Soho,HighBridge-Morrisania,Highbridge-And-Concourse,Hillcrest-And-FreshMeadows,HuntsPoint-MottHaven,HuntsPoint-And-Longwood,JacksonHeights,Jamaica,Jamaica-And-Hollis,KewGardens-And-Woodhaven,Kingsbridge-Riverdale,KingsbridgeHeights-And-Bedford,Longisl-And-City-Astoria,Longisl-And-City-And-Astoria,LowerEastSide-And-Chinatown,LowerManhattan,Manhattan,Midtown,MorningsideHeights-And-HamiltonHeights,MorrisPark-And-Bronxdale,Morrisania-And-Crotona,MottHaven-And-Melrose-And-,NewYorkCity,NortheastBronx,NorthernSI,ParkSlope-And-CarrollGardens,Parkchester-And-Soundview,Pelham-ThrogsNeck,PortRichmond,Queens,QueensVillage,RegoPark-And-ForestHills,Ridgewood-ForestHills,Ridgewood-And-Maspeth,Riverdale-And-Fieldston,Rockaway-And-BroadChannel-And-,Rockaways,SheepsheadBay-And-,SouthBeach-Tottenville,SouthBeach-And-Willowbrook-And-,SouthBronx,SouthCrownHeights-And-LeffertsGardens,SouthOzonePark-And-HowardBeach,SoutheastQueens,SouthernSI,SouthwestQueens,St.George-And-Stapleton-And-,Stapleton-St.George,Statenisl-And-,StuyvesantTown-And-TurtleBay,SunsetPark,ThrogsNeck-And-Co-opCity,Tottenville-And-GreatKills-And-,UnionSquare-LowerEastSide,UnionSquare-LowerManhattan,UpperEastSide,UpperEastSide,UpperEastSide-Gramercy,UpperWestSide,UpperWestSide,WashingtonHeights,WashingtonHeights-And-Inwood-And-,WestQueens,Williamsbridge-And-Baychester,Williamsburg-Bushwick,Willowbrook,Woodside-And-Sunnyside
Nitrogen Dioxide (NO2),Mean,ppb,2009,S2009,20.38,16.77,17.8,23.2,23.88,18.95,21.32,20.83,20.14,21.58,21.76,28.22,37.13,35.28,32.98,13.73,24.99,25.21,21.21,26.42,19.51,22.96,34.24,20.75,15.52,38.49,19.23,21.15,26.75,25.95,19.35,40.99,22.6,22.74,31.63,26.46,26.88,18.96,23,22.71,21.71,18.49,18.47,19.99,19.51,23.31,21.87,21.22,28.32,34.41,30.87,45,28.01,19.41,24.69,24.8,18.9,17.94,16.06,24.63,21.07,19.03,18.19,18.15,16.02,21.16,19.91,19.71,19.53,8.44,8.57,15.63,10.8,12.89,24.57,23.51,17.65,16.05,11.98,18.59,17.45,14.92,13.19,37.14,22.28,17.24,10.81,29.28,30.89,30.94,31.12,35.65,28.52,28.43,25.61,25.04,21.66,17.61,23.14,14,21.4
Nitrogen Dioxide (NO2),Mean,ppb,2010,S2010,18.08,16.02,16.81,20.85,21.71,16.91,18.77,19.42,18.23,19.57,19.98,25.56,34.75,33.01,31.25,12.65,22.54,22.6,18.94,24.41,18.11,21.39,31.24,18.28,14.3,17.83,17.79,19.72,24.06,23.47,18,38,21.41,21.44,29.66,23.66,24,17.72,20.82,20.53,20.2,17.87,17.99,18.82,18.07,21.48,20.91,20.01,26.42,31.27,28.52,41.44,25.39,18.45,22.1,22.42,17.59,17.86,14.91,21.9,19.29,17.88,17.11,17.42,16.19,19.61,18.49,18.4,18.09,9.96,10.1,14.44,9.5,11.99,22.13,20.8,17.03,16.15,10.82,35.49,16.26,13.73,12.03,34.62,19.51,16.69,9.42,27.36,28.59,28.98,29.14,33.21,26.72,26.69,22.89,22.35,20.31,17.48,21.25,13.07,20.49
Nitrogen Dioxide (NO2),Mean,ppb,2011,S2011,18.06,15.36,16.24,20.67,20.25,16.98,18.64,18.31,18.14,19.48,19.96,24,34.57,32.81,30.93,12.93,20.95,22.21,18.77,23.33,18.06,21.41,31.02,18.14,14.28,17.42,17.39,18.38,22.24,23.13,17.57,38.09,21.34,21.37,29.44,21.95,22.2,17.23,19.66,19.4,20.06,34.51,17.34,18.65,16.27,19.95,20.69,19.63,26.23,31.05,27.72,41.53,23.68,17.59,20.59,21.06,17.14,17.16,14.98,21.44,18.37,17.17,16.93,17.04,15.36,19.58,18.51,18.46,16.31,9.81,9.94,14.61,8.54,11.89,20.69,20.55,16.78,15.32,10.13,17.53,16.24,13.93,11.57,34.67,19.22,16.19,8.32,27.2,28.41,28.61,28.77,33.05,25.78,25.77,20.85,20.26,20.29,16.66,21.19,12.83,20.5
Nitrogen Dioxide (NO2),Mean,ppb,2012,S2012,16.03,14.59,15.41,19,18.82,14.96,16.65,17.02,16.27,17.92,18.39,21.94,32.85,31,28.92,10.96,19.41,20.18,16.97,21.24,16.61,20.2,29.25,16.21,12.42,32.97,16.44,17.13,20.62,21.17,16.63,36.74,19.39,19.46,27.46,20.12,20.36,16.29,17.94,17.78,18.7,16.21,16.28,17.52,14.76,18.61,18.77,17.79,24.26,29.32,25.83,40.34,21.51,16.52,18.97,19.14,15.77,16.25,13.35,19.35,17.1,16.09,15.45,15.84,14.35,18.52,17.24,17.04,14.81,8.11,8.25,12.62,8.15,10.74,18.99,18.77,15.49,14.32,9.49,16.3,14.62,12.22,10.64,33.13,17.13,15.29,8.03,25.28,26.55,26.79,26.96,31.46,23.58,23.57,18.91,18.37,18.85,15.7,19.53,11.78,18.71
Nitrogen Dioxide (NO2),Mean,ppb,2013,S2013,15.24,14.07,15,18.74,18.06,13.99,15.94,15.91,15.75,17.72,18.09,21.63,30.68,29.16,27.36,9.53,18.85,19.95,16.68,20.7,16.61,19.38,27.81,15.58,11.98,31.21,15.58,15.98,20.23,20.8,16.42,33.89,18.89,18.98,26.19,19.9,20.19,16.23,17.46,17.22,17.84,16.57,16.72,17.63,14.2,17.67,18.02,17.08,23.31,27.85,24.71,37.02,21.4,14.97,18.47,18.86,15.2,14.27,12.59,19.25,16.04,14.69,15.03,15.6,14.63,18.07,16.92,16.74,14.22,7.88,8.04,11.46,7.62,9.91,18.56,18.49,15.84,14.59,8.92,33.11,14.02,11.28,10.01,30.77,16.77,13.57,7.59,24.15,25.31,25.15,25.3,29.25,22.74,22.71,18.97,18.43,18.1,13.84,19.13,11.13,17.98
Nitrogen Dioxide (NO2),Mean,ppb,2014,S2014,14.51,12.64,13.24,16.51,17.33,13.79,15.11,15.75,14.54,15.48,15.87,19.66,28.44,26.92,25.35,10.71,17.79,17.79,15.04,19.16,14.16,17.64,25.15,14.6,11.2,14.58,14.52,15.79,18.83,18.58,14.13,31.56,17.27,17.27,24.02,18.26,18.47,13.67,16.43,16.33,16.57,13.5,13.55,14.65,13.55,17.08,16.92,16.08,21.27,25.15,22.69,34.36,19.28,15.44,17.28,17.46,13.91,15.4,11.49,17.1,15.76,14.96,13.12,13.66,12.11,15.65,14.62,14.61,13.59,7.33,7.44,12.07,7.39,9.15,17.35,16.45,12.93,12.08,8.32,13.61,12.52,10.62,9.26,28.64,15.23,14.33,7.32,22.11,23.06,23.49,23.64,27.28,20.87,20.86,17.09,16.63,16.64,14.83,17,9.91,16.7
Nitrogen Dioxide (NO2),Mean,ppb,2015,S2015,14.15,12.65,13.18,15.97,17.43,13.33,14.55,15.96,14.09,15,15.48,19.12,25.55,24.49,23.42,10.01,17.85,17.42,14.6,18.63,13.88,17.09,23.01,13.99,10.83,14.46,14.4,16.04,18.84,18.02,13.97,27.72,17.04,17,22.41,18.15,18.38,13.5,16.47,16.41,16.21,13.33,13.39,14.39,14.28,17.25,16.67,15.93,20.15,22.93,21.25,29.69,18.88,15.65,17.23,17.41,13.5728,15.79,11.37,16.88,15.82,15.12,13.13,13.47,12.07,15.15,14.32,14.42,14.29,6.87,6.99,11.38,6.69,8.83,17.36,15.88,12.79,12.04,7.78,26.85,12.48,10.43,8.85,25.57,14.98,14.56,6.59,20.75,21.44,21.57,21.68,24.45,19.79,19.77,17.27,16.89,16.3,15.3,16.54,9.64,16.44
Nitrogen Dioxide (NO2),Mean,ppb,2016,S2016,14.26,12.73,13.13,15.36,16.3,13.27,14.25,14.92,13.62,14.24,14.8,18.21,24.97,24.03,22.98,9.5,16.73,17.32,13.96,17.82,13.07,16.37,22.85,13.49,10.03,28.15,14,14.79,17.67,17.83,13.7,26.92,16.59,16.53,22.17,17.13,17.34,13.27,15.59,15.53,15.5,13.11,13.19,13.75,12.99,15.98,16.02,15.23,19.89,22.76,20.56,28.83,17.99,14.57,16.19,16.51,13.2,14.6,11.93,16.89,14.9,14.25,13.86,13.08,12.15,14.49,13.62,13.7,13,6.1,6.22,10.67,6.73,9.26,16.36,15.37,12.12,12.13,8,12.77,13.12,10.91,9.17,24.88,15.07,13.75,6.6,20.44,21.17,20.78,20.89,23.66,19.1,19.1,16.19,15.78,15.6,14.07,15.94,10.16,15.8
Nitrogen Dioxide (NO2),Mean,ppb,2017,S2017,13.52,12.58,13.08,15.17,16.57,12.75,13.77,14.97,13.44,14.29,14.69,18.96,26.19,24.9,23.8,9.7,17.12,16.62,13.82,18.57,13.39,16.66,23.03,13.23,10.31,27.89,13.89,14.87,18.17,17.33,13.83,28.61,16.36,16.3,22.43,17.68,17.92,13.48,15.85,15.72,15.68,13.67,13.81,14.21,13.02,16.19,16.21,15.42,19.88,22.95,21.33,30.82,18.76,14.44,16.55,16.98,13.4,14.37,11.34,15.99,14.97,14.14,13.28,13.42,12.64,14.86,13.79,13.77,13.03,7.68,7.81,10.99,7.77,9.24,16.75,15.01,12.78,12.59,8.65,13.34,12.46,10.3,9.45,26.18,14.14,13.51,7.76,20.58,21.32,21.92,22.04,25.05,19.98,19.97,16.69,16.22,15.77,13.84,15.73,10.16,15.92
Nitrogen Dioxide (NO2),Mean,ppb,2018,S2018,12.36,11.72,11.98,14.02,14.75,11.47,12.59,13.62,12.54,13.22,14.13,16.91,24.85,23.74,22.78,8.38,15.18,16.37,12.46,16.41,11.97,14.87,21.99,11.74,9.03,12.95,12.9,13.3,15.93,16.57,12.36,26.13,17.47,17.57,21.54,15.85,15.99,12.23,15.21,15.44,14.08,12.77,12.97,12.73,11.69,14.3,16.35,14.73,18.72,21.79,19.67,28.82,16.76,13.27,14.92,16.15,12.32,13.05,10.37,16.27,13.45,12.84,12.34,12.52,12.27,13.04,12.54,13.13,11.68,6.6,6.73,9.27,6.28,8.19,15.38,13.63,11.25,12.22,7.33,11.83,11.43,9.31,8.23,23.83,14.4,12.22,6.25,19.38,20.14,19.87,19.98,22.81,18.4,18.41,14.97,14.61,14.92,12.65,15.84,9.09,16.56
